,0
251,0.61724156
252,0.87414134
253,0.40706757
254,0.89304525
255,0.3534071
256,0.8454889
257,0.48335844
258,0.92397535
259,0.25990614
260,0.71171325
261,0.75915676
262,0.6764998
263,0.8097369
264,0.57003325
265,0.9068528
266,0.31254202
267,0.79498017
268,0.6030508
269,0.885708
270,0.37454864
271,0.86676925
272,0.42727718
273,0.9054321
274,0.3168118
275,0.8008357
276,0.59014213
277,0.89493525
278,0.34789675
279,0.83939904
280,0.49879068
281,0.9249946
282,0.25670454
283,0.70598704
284,0.76800656
285,0.65923816
286,0.8311799
287,0.5191835
288,0.9236384
289,0.26096287
290,0.7135867
291,0.75620866
292,0.68212134
293,0.80227774
294,0.5869242
295,0.8970435
296,0.34171882
297,0.83230424
298,0.5164234
299,0.924002
300,0.25982255
301,0.7115648
302,0.7593893
303,0.67605364
304,0.81031895
305,0.568698
306,0.9075381
307,0.31047693
308,0.7920997
309,0.6093077
310,0.8807918
311,0.3884912
312,0.87899345
313,0.39354667
314,0.88307047
315,0.38205096
316,0.8735256
317,0.4087709
318,0.8942058
319,0.3500266
320,0.84177953
321,0.49279097
322,0.9248078
323,0.25729188
324,0.70704323
325,0.76639247
326,0.6624297
327,0.82738143
328,0.52843916
329,0.92200756
330,0.2660656
331,0.72251636
332,0.74179995
333,0.70867133
334,0.76388824
335,0.6673431
336,0.8213863
337,0.54283017
338,0.91821265
339,0.27786326
340,0.7424245
341,0.7075524
342,0.76561147
343,0.663967
344,0.8255248
345,0.53292435
346,0.92098916
347,0.2692421
348,0.72797793
349,0.7326965
350,0.7246537
351,0.73826367
352,0.7149525
353,0.75404304
354,0.68620986
355,0.7967058
356,0.599273
357,0.888536
358,0.36644724
359,0.8590056
360,0.4481255
361,0.9150435
362,0.287634
363,0.75813246
364,0.67846024
365,0.8071622
366,0.5759101
367,0.9036794
368,0.32205898
369,0.80784684
370,0.5743522
371,0.9045455
372,0.31946892
373,0.80441153
374,0.58213437
375,0.9000397
376,0.33288255
377,0.8216656
378,0.54216564
379,0.9184216
380,0.27721637
381,0.7413596
382,0.70945853
383,0.7626704
384,0.6697158
385,0.81842726
386,0.5498351
387,0.9158109
388,0.28527483
389,0.7544044
390,0.68553007
391,0.79764086
392,0.5972167
393,0.89003104
394,0.36214042
395,0.85468054
396,0.45954636
397,0.918945
398,0.27559477
399,0.7386765
400,0.7142241
401,0.75519973
402,0.6840305
403,0.7996913
404,0.5926849
405,0.8932152
406,0.35291272
407,0.84495175
408,0.4847307
409,0.9241373
410,0.25939795
411,0.7108094
412,0.76056975
413,0.6737826
414,0.8132585
415,0.56191564
416,0.91081595
417,0.30055192
418,0.7778157
419,0.63942826
420,0.8530711
421,0.46376097
422,0.9201409
423,0.27188194
424,0.73245996
425,0.72506076
426,0.7375864
427,0.71614504
428,0.7521409
429,0.6897724
430,0.79174984
431,0.6100635
432,0.88017833
433,0.39021844
434,0.88040763
435,0.38957313
436,0.87988186
437,0.3910522
438,0.8810824
439,0.38767192
440,0.87831485
441,0.39544812
442,0.884555
443,0.37783462
444,0.86977977
445,0.41907284
446,0.9007679
447,0.33072478
448,0.81897986
449,0.54853183
450,0.9162852
451,0.2838145
452,0.7520762
453,0.68989307
454,0.7915803
455,0.6104294
456,0.8798798
457,0.39105803
458,0.88108706
459,0.3876588
460,0.87830395
461,0.39547867
462,0.88457865
463,0.3777673
464,0.8697189
465,0.41923934
466,0.9008676
467,0.33042917
468,0.8186092
469,0.5494063
470,0.91596836
471,0.2847902
472,0.75363356
473,0.6869791
474,0.79564357
475,0.60160106
476,0.8868058
477,0.3714108
478,0.8638198
479,0.43525013
480,0.90948755
481,0.30458382
482,0.78370637
483,0.6271896
484,0.86514443
485,0.43167734
486,0.9077285
487,0.30990267
488,0.79129314
489,0.61104876
490,0.87937224
491,0.39248383
492,0.88222903
493,0.3844336
494,0.87558424
495,0.40306497
496,0.89023334
497,0.36155638
498,0.8540834
499,0.46111226
500,0.9194046
501,0.27416912
502,0.7363016
503,0.71839774
504,0.748519
505,0.6964817
506,0.78216124
507,0.6304247
508,0.8620608
509,0.43997437
510,0.9116686
511,0.29795718
512,0.7739612
513,0.6472975
514,0.84472275
515,0.48531505
516,0.9242021
517,0.25919458
518,0.71044713
519,0.76113445
520,0.67269254
521,0.81465596
522,0.55866903
523,0.9122644
524,0.29614082
525,0.7712333
526,0.6528002
527,0.83861274
528,0.50076324
529,0.92499787
530,0.25669423
531,0.70596856
532,0.76803476
533,0.6591823
534,0.8312457
535,0.5190222
536,0.9236612
537,0.26089147
538,0.7134603
539,0.75640833
540,0.6817426
541,0.8027876
542,0.5857828
543,0.89777285
544,0.33957404
545,0.829775
546,0.52261937
547,0.92310697
548,0.26262784
549,0.7165215
550,0.7515382
551,0.69089556
552,0.79016787
553,0.61346966
554,0.8773612
555,0.3981146
556,0.8865917
557,0.37202346
558,0.8644014
559,0.43368298
560,0.9087276
561,0.3068845
562,0.78701365
563,0.6202057
564,0.8715372
565,0.4142524
566,0.8977952
567,0.3395082
568,0.8296969
569,0.52280986
570,0.92307496
571,0.26272804
572,0.71669745
573,0.75125617
574,0.69142026
575,0.7894257
576,0.6150613
577,0.87601537
578,0.40186605
579,0.88936794
580,0.36405265
581,0.8566178
582,0.45444787
583,0.9173225
584,0.2806151
585,0.74692
586,0.6994129
587,0.7778677
588,0.6393214
589,0.85318136
590,0.46347284
591,0.9200634
592,0.272123
593,0.7328667
594,0.72436047
595,0.7387508
596,0.71409273
597,0.755408
598,0.683637
599,0.80022657
600,0.5914968
601,0.89402485
602,0.35055438
603,0.84236425
604,0.4913109
605,0.92472064
606,0.25756577
607,0.7075349
608,0.7656383
609,0.6639143
610,0.8255888
611,0.5327701
612,0.92102665
613,0.26912528
614,0.7277784
615,0.73303294
616,0.7240739
617,0.7392263
618,0.7132519
619,0.7567375
620,0.6811177
621,0.8036266
622,0.58390033
623,0.8989547
624,0.33609006
625,0.82559407
626,0.53275746
627,0.9210297
628,0.2691158
629,0.7277622
630,0.7330602
631,0.7240269
